id	area	priority	status	confidence	owner	evidence	spec	tests	next_action
pipeline.boundaries	pipeline	P0	verified	high	-	research/claims/source-chart-path-selection.md; research/claims/c2s-path-derivation.md; research/claims/parser-multi-pass-dispatch.md; research/claims/derived-command-overwrite.md; research/claims/tap-construction.md; research/claims/tap-candidate-judgement-gate.md; research/claims/gameplay-substep-order.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/gameplay-clock-reconstruction.md; research/claims/hold-construction-start-gate.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/ordinary-terminal-summary-producers.md; research/claims/ordinary-terminal-end-threshold.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/alternate-terminal-meter.md; research/claims/hold-end-feedback-boundary.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/flick-motion-judgement.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/air-solid-nonjudgement.md; research/claims/runtime-note-materialization-order.md; research/claims/projection-schedule-materialization.md; research/claims/sla-materialization-selection.md; research/claims/runtime-note-dispatch.md; research/claims/note-view-preload-barrier.md; research/claims/render-primitive-counter-boundary.md; research/claims/slide-hld-heaven-retyping.md; research/claims/parser-derived-summary-boundary.md; research/claims/meter-grid-render-boundary.md; research/claims/key-beam-feedback-boundary.md; research/claims/post-update-scene-resource-boundary.md; research/claims/post-update-cue-report-boundary.md; research/claims/periodic-aggregate-reevaluation.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/active-gameplay-exit-gate.md; research/claims/post-active-gameplay-drain.md; research/claims/final-result-persistence-order.md; research/claims/pre-active-zero-base-priming.md; research/claims/outer-update-direct-callee-closure.md; research/claims/common-lane-width-encoding.md; research/claims/result-component-identifier-flow.md	spec/c2s.md; spec/notes/tap.md; spec/notes/hold.md; spec/timing.md; spec/judgement.md; spec/matching.md; spec/configuration.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/notes/air_solid.md	tests/result_identifier_test.cpp; tests/common_lane_width_test.cpp; tests/chart_path_test.cpp; tests/derived_command_test.cpp; tests/tap_window_test.cpp; tests/tap_lifecycle_test.cpp; tests/play_clock_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/aso_parser_test.cpp; tests/chart_load_lifecycle_test.cpp; tests/runtime_materialization_test.cpp; tests/projection_schedule_test.cpp; tests/runtime_note_dispatch_test.cpp; tests/note_view_preload_test.cpp; tests/heaven_hold_judgement_test.cpp; tests/gameplay_exit_test.cpp	Reopen only if a new outer-update edge or gameplay-owner alias contradicts the closed direct-callee and registered-caller inventory
parser.discovery	parser	P0	verified	high	-	research/claims/source-chart-path-selection.md; research/claims/c2s-path-derivation.md; research/claims/runtime-note-materialization-order.md; research/claims/projection-schedule-materialization.md	spec/c2s.md; spec/timing.md	tests/chart_path_test.cpp; tests/chart_load_lifecycle_test.cpp; tests/runtime_materialization_test.cpp; tests/projection_schedule_test.cpp	Reopen source selection only if a gameplay contradiction exposes another writer or consumer
parser.header	parser	P0	verified	high	-	research/claims/command-descriptor-schema.md; research/claims/parser-multi-pass-dispatch.md; research/claims/header-default-dispatch.md	spec/c2s.md; spec/timing.md; spec/configuration.md; spec/notes/air_hold.md; spec/notes/air_slide.md; spec/notes/heaven_hold.md	tests/c2s_header_test.cpp	Reopen only if a gameplay contradiction exposes an untraced group-0 consumer
parser.events	parser	P0	verified	high	-	research/claims/command-descriptor-schema.md; research/claims/parser-multi-pass-dispatch.md; research/claims/event-family-type-map.md; research/claims/event-token-fallback.md; research/claims/derived-command-overwrite.md; research/claims/sla-materialization-selection.md; research/claims/projection-schedule-materialization.md; research/claims/hold-extended-profile-selection.md; research/claims/air-solid-nonjudgement.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/chara-tap-result-category.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/runtime-note-materialization-order.md; research/claims/slide-hld-heaven-retyping.md; research/claims/legacy-metadata-command-exclusion.md; research/claims/heaven-hold-judgement.md; research/claims/common-lane-width-encoding.md; research/claims/result-component-identifier-flow.md; research/claims/air-ladder-generated-checkpoints.md; research/claims/air-ladder-precalc-presentation.md; research/claims/slide-presentation-classes.md	spec/c2s.md; spec/configuration.md; spec/matching.md; spec/notes/tap.md; spec/notes/hold.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/notes/air_solid.md; spec/notes/heaven_hold.md; spec/notes/air_ladder.md	tests/result_identifier_test.cpp; tests/common_lane_width_test.cpp; tests/derived_command_test.cpp; tests/sla_region_test.cpp; tests/projection_schedule_test.cpp; tests/hold_variant_test.cpp; tests/aso_parser_test.cpp; tests/tap_window_test.cpp; tests/shared_result_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/chart_load_lifecycle_test.cpp; tests/runtime_materialization_test.cpp; tests/heaven_hold_judgement_test.cpp; tests/c2s_header_test.cpp; tests/air_ladder_judgement_test.cpp; tests/air_ladder_presentation_test.cpp	Reopen only if an exact-binary contradiction changes the corrected AirLadder accepted-event identity, authored terminal schedule, authored main geometry, or generated-checkpoint ownership
parser.compatibility	parser	P1	verified	high	-	research/claims/header-default-dispatch.md; research/claims/parser-derived-summary-boundary.md; research/claims/legacy-metadata-command-exclusion.md; research/claims/derived-command-overwrite.md; research/claims/hold-extended-profile-selection.md	spec/c2s.md; spec/notes/hold.md; spec/configuration.md	tests/c2s_header_test.cpp; tests/derived_command_test.cpp; tests/hold_variant_test.cpp	Reopen only if a corpus or exact-binary contradiction exposes another gameplay-reaching compatibility default
timing.clock	timing	P0	verified	high	-	research/claims/tap-construction.md; research/claims/tap-candidate-judgement-gate.md; research/claims/gameplay-substep-order.md; research/claims/gameplay-clock-reconstruction.md; research/claims/music-cursor-base-time.md; research/claims/play-timing-runtime-ownership.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/pre-active-zero-base-priming.md; research/claims/projection-schedule-materialization.md; research/claims/sla-materialization-selection.md	spec/timing.md; spec/c2s.md; spec/configuration.md; spec/notes/hold.md	tests/play_clock_test.cpp; tests/hold_sustain_test.cpp; tests/projection_schedule_test.cpp; tests/runtime_materialization_test.cpp	Reopen only if another clock/schedule producer contradicts the closed materialization transform
timing.tick_conversion	timing	P0	verified	high	-	research/claims/gameplay-clock-reconstruction.md; research/claims/music-cursor-base-time.md; research/claims/autoscan-counter-wrap.md; research/claims/periodic-aggregate-reevaluation.md	spec/timing.md; spec/input.md	tests/play_clock_test.cpp; tests/shared_result_test.cpp	Reopen only if a downstream consumer contradicts the closed cursor, elapsed-timer, scan-counter, or aggregate conversion domains
timing.tempo_measure	timing	P0	verified	high	-	research/claims/tempo-measure-schedule.md; research/claims/meter-grid-render-boundary.md	spec/timing.md; spec/c2s.md; spec/notes/air_hold.md; spec/notes/air_slide.md; spec/notes/heaven_hold.md	tests/tempo_map_test.cpp; tests/air_hold_judgement_test.cpp; tests/air_slide_judgement_test.cpp; tests/heaven_hold_judgement_test.cpp	Audit differing-BPM duplicate precedence only if a compatible chart or downstream contradiction makes it gameplay-relevant
timing.discontinuity	timing	P1	verified	high	-	research/claims/gameplay-substep-order.md; research/claims/gameplay-clock-reconstruction.md; research/claims/music-cursor-base-time.md; research/claims/autoscan-counter-wrap.md; research/claims/pre-active-zero-base-priming.md	spec/timing.md; spec/input.md	tests/play_clock_test.cpp	Assign the pause/captured-timer selector only if its player-facing identity becomes gameplay-relevant
input.transport	input	P1	verified	high	-	research/claims/touch-photo-input-framing.md	spec/input.md; spec/configuration.md	tests/input_profile_test.cpp	Reopen below the named device interfaces only if another gameplay consumer contradicts the closed source-record framing
